<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,@notation,@status,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,16,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-16>,0-19-16,stable,'Contrail base'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Contrail base'@en,'Contrail base'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,17,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-17>,0-19-17,stable,'Maximum snow albedo'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Maximum snow albedo'@en,'Maximum snow albedo'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,18,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-18>,0-19-18,stable,'Snow free albedo'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow free albedo'@en,'Snow free albedo'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,19,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-19>,0-19-19,stable,'Snow albedo'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow albedo'@en,'Snow albedo'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-2>,0-19-2,stable,'Thunderstorm probability'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Thunderstorm probability'@en,'Thunderstorm probability'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,20,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-20>,0-19-20,stable,'Icing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Icing'@en,'Icing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,21,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-21>,0-19-21,stable,'In-cloud turbulence'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'In-cloud turbulence'@en,'In-cloud turbulence'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,22,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-22>,0-19-22,stable,'Clear air turbulence (CAT)'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Clear air turbulence (CAT)'@en,'Clear air turbulence (CAT)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,23,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-23>,0-19-23,stable,'Supercooled large droplet probability'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Supercooled large droplet probability'@en,'Supercooled large droplet probability'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/J_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,24,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-24>,0-19-24,stable,'Convective turbulent kinetic energy'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Convective turbulent kinetic energy'@en,'Convective turbulent kinetic energy'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.225)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,25,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-25>,0-19-25,stable,'Weather'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Weather'@en,'Weather'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-255>,0-19-255,stable,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.224)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,26,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-26>,0-19-26,stable,'Convective outlook'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Convective outlook'@en,'Convective outlook'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.227)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,27,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-27>,0-19-27,stable,'Icing scenario'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Icing scenario'@en,'Icing scenario'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,3,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-3>,0-19-3,stable,'Mixed layer depth'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Mixed layer depth'@en,'Mixed layer depth'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.206)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,4,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-4>,0-19-4,stable,'Volcanic ash'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Volcanic ash'@en,'Volcanic ash'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,5,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-5>,0-19-5,stable,'Icing top'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Icing top'@en,'Icing top'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,6,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-6>,0-19-6,stable,'Icing base'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Icing base'@en,'Icing base'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.207)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,7,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-7>,0-19-7,stable,'Icing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Icing'@en,'Icing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,8,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-8>,0-19-8,stable,'Turbulence top'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulence top'@en,'Turbulence top'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-19>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,9,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-19-9>,0-19-9,stable,'Turbulence base'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulence base'@en,'Turbulence base'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/CCITT_IA5>,<http://codes.wmo.int/grib2/codeflag/4.1/0-190>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-190-0>,0-190-0,stable,'Arbitrary text string'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Arbitrary text string'@en,'Arbitrary text string'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-190>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-190-255>,0-190-255,stable,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/s>,<http://codes.wmo.int/grib2/codeflag/4.1/0-191>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-191-0>,0-191-0,stable,'Seconds prior to initial reference time (defined in Section 1)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Seconds prior to initial reference time (defined in Section 1)'@en,'Seconds prior to initial reference time (defined in Section 1)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/deg_N>,<http://codes.wmo.int/grib2/codeflag/4.1/0-191>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-191-1>,0-191-1,stable,'Geographical latitude'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Geographical latitude'@en,'Geographical latitude'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/deg_E>,<http://codes.wmo.int/grib2/codeflag/4.1/0-191>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-191-2>,0-191-2,stable,'Geographical longitude'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Geographical longitude'@en,'Geographical longitude'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-191>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-191-255>,0-191-255,stable,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/d>,<http://codes.wmo.int/grib2/codeflag/4.1/0-191>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,3,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-191-3>,0-191-3,stable,'Days since last observation'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Days since last observation'@en,'Days since last observation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/degree_true>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-0>,0-2-0,stable,'Wind direction (from which blowing)'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Wind direction (from which blowing)'@en,'Wind direction (from which blowing)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-1>,0-2-1,stable,'Wind speed'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Wind speed'@en,'Wind speed'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,10,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-10>,0-2-10,stable,'Absolute vorticity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Absolute vorticity'@en,'Absolute vorticity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,11,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-11>,0-2-11,stable,'Absolute divergence'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Absolute divergence'@en,'Absolute divergence'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,12,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-12>,0-2-12,stable,'Relative vorticity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Relative vorticity'@en,'Relative vorticity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,13,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-13>,0-2-13,stable,'Relative divergence'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Relative divergence'@en,'Relative divergence'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K_m2_kg-1_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,14,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-14>,0-2-14,stable,'Potential vorticity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Potential vorticity'@en,'Potential vorticity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,15,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-15>,0-2-15,stable,'Vertical u-component shear'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Vertical u-component shear'@en,'Vertical u-component shear'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,16,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-16>,0-2-16,stable,'Vertical v-component shear'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Vertical v-component shear'@en,'Vertical v-component shear'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,17,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-17>,0-2-17,stable,"'Momentum flux, u-component'@en","",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,"'Momentum flux, u-component'@en","'Momentum flux, u-component'@en"
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,18,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-18>,0-2-18,stable,"'Momentum flux, v-component'@en","",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,"'Momentum flux, v-component'@en","'Momentum flux, v-component'@en"
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/J>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,19,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-19>,0-2-19,stable,'Wind mixing energy'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Wind mixing energy'@en,'Wind mixing energy'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-2>,0-2-2,stable,'u-component of wind'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'u-component of wind'@en,'u-component of wind'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,20,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-20>,0-2-20,stable,'Boundary layer dissipation'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Boundary layer dissipation'@en,'Boundary layer dissipation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,21,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-21>,0-2-21,stable,'Maximum wind speed'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Maximum wind speed'@en,'Maximum wind speed'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,22,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-22>,0-2-22,stable,'Wind speed (gust)'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Wind speed (gust)'@en,'Wind speed (gust)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-2>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,23,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-2-23>,0-2-23,stable,'u-component of wind (gust)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'u-component of wind (gust)'@en,'u-component of wind (gust)'@en
